#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#subjectId	cellLineSourceName	gender	cellLinePrimarySite	cellLineHistology
CH157MN_CENTRAL_NERVOUS_SYSTEM	CH-157MN		central_nervous_system	meningioma
CHAGOK1_LUNG	ChaGo-K-1	M	lung	carcinoma
CHL1_SKIN	CHL-1		skin	malignant_melanoma
CHP126_AUTONOMIC_GANGLIA	CHP-126	F	autonomic_ganglia	neuroblastoma
CHP212_AUTONOMIC_GANGLIA	CHP-212		autonomic_ganglia	neuroblastoma
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI-1	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
CJM_SKIN	CJM		skin	malignant_melanoma
CL11_LARGE_INTESTINE	CL-11		large_intestine	carcinoma
CL14_LARGE_INTESTINE	CL-14	M	large_intestine	carcinoma
CL34_LARGE_INTESTINE	CL-34	F	large_intestine	carcinoma
CL40_LARGE_INTESTINE	CL-40	F	large_intestine	carcinoma
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-11-5		haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-86		haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK		haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CML-T1	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
COLO201_LARGE_INTESTINE	COLO 201	M	large_intestine	carcinoma
COLO205_LARGE_INTESTINE	COLO 205	M	large_intestine	carcinoma
COLO320_LARGE_INTESTINE	COLO-320	F	large_intestine	carcinoma
COLO668_LUNG	COLO 668	F	lung	carcinoma
COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO-677	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
COLO678_LARGE_INTESTINE	COLO-678	M	large_intestine	carcinoma
COLO679_SKIN	COLO-679	F	skin	malignant_melanoma
COLO680N_OESOPHAGUS	COLO-680N	F	oesophagus	carcinoma
COLO684_ENDOMETRIUM	COLO 684	F	endometrium	carcinoma
COLO704_OVARY	COLO-704	F	ovary	carcinoma
COLO741_SKIN	COLO 741	F	skin	malignant_melanoma
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO 775	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
COLO783_SKIN	COLO-783	F	skin	malignant_melanoma
COLO792_SKIN	COLO 792	M	skin	malignant_melanoma
COLO800_SKIN	COLO-800		skin	malignant_melanoma
COLO818_SKIN	COLO-818		skin	malignant_melanoma
COLO829_SKIN	COLO 829	M	skin	malignant_melanoma
COLO849_SKIN	COLO-849	M	skin	malignant_melanoma
CORL105_LUNG	COR-L105	M	lung	carcinoma
CORL23_LUNG	COR-L23	M	lung	carcinoma
CORL24_LUNG	COR-L24	M	lung	carcinoma
CORL279_LUNG	COR-L279	M	lung	carcinoma
CORL311_LUNG	COR-L311	M	lung	carcinoma
CORL47_LUNG	COR-L47	M	lung	carcinoma
CORL51_LUNG	COR-L51	M	lung	carcinoma
CORL88_LUNG	COR-L88	M	lung	carcinoma
CORL95_LUNG	COR-L95	M	lung	carcinoma
COV318_OVARY	COV318	F	ovary	carcinoma
COV362_OVARY	COV362	F	ovary	carcinoma
COV434_OVARY	COV434	F	ovary	sex_cord-stromal_tumour
COV504_OVARY	COV504	F	ovary	carcinoma
COV644_OVARY	COV644	F	ovary	carcinoma
CPCN_LUNG	CPC-N		lung	carcinoma
CW2_LARGE_INTESTINE	CW-2		large_intestine	carcinoma
D283MED_CENTRAL_NERVOUS_SYSTEM	D283 Med	M	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma
D341MED_CENTRAL_NERVOUS_SYSTEM	D341 Med	M	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma
DANG_PANCREAS	DAN-G		pancreas	carcinoma
DAOY_CENTRAL_NERVOUS_SYSTEM	Daoy	M	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Daudi	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG-05MG	F	central_nervous_system	glioma
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
DETROIT562_UPPER_AERODIGESTIVE_TRACT	Detroit 562	F	upper_aerodigestive_tract	carcinoma
DFCI024_LUNG	DFCI024		lung	carcinoma
DKMG_CENTRAL_NERVOUS_SYSTEM	DK-MG	F	central_nervous_system	glioma
DLD1_LARGE_INTESTINE	DLD-1	M	large_intestine	carcinoma
DM3_PLEURA	DM-3	M	pleura	mesothelioma
DMS114_LUNG	DMS 114	M	lung	carcinoma
DMS153_LUNG	DMS 153	M	lung	carcinoma
DMS273_LUNG	DMS 273	F	lung	carcinoma
DMS454_LUNG	DMS 454	M	lung	carcinoma
DMS53_LUNG	DMS 53	M	lung	carcinoma
DMS79_LUNG	DMS 79		lung	carcinoma
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DND-41	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH-2	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
DU145_PROSTATE	DU 145	M	prostate	carcinoma
DU4475_BREAST	DU4475	F	breast	carcinoma
DV90_LUNG	DV-90	M	lung	carcinoma
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
EBC1_LUNG	EBC-1	M	lung	carcinoma
ECC10_STOMACH	ECC10		stomach	carcinoma
ECC12_STOMACH	ECC12		stomach	carcinoma
ECGI10_OESOPHAGUS	EC-GI-10		oesophagus	carcinoma
EFE184_ENDOMETRIUM	EFE-184	F	endometrium	carcinoma
EFM192A_BREAST	EFM-192A	F	breast	carcinoma
EFM19_BREAST	EFM-19	F	breast	carcinoma
EFO21_OVARY	EFO-21	F	ovary	carcinoma
EFO27_OVARY	EFO-27	F	ovary	carcinoma
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EJM	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EM-2	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
EN_ENDOMETRIUM	EN	F	endometrium	carcinoma
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL-1	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
EPLC272H_LUNG	EPLC-272H	M	lung	carcinoma
ES2_OVARY	ES-2	F	ovary	carcinoma
ESS1_ENDOMETRIUM	ESS-1	F	endometrium	carcinoma
EVSAT_BREAST	EVSA-T	F	breast	carcinoma
EW8_BONE	EW8		bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
EWS502_BONE	EWS502		bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F-36P	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
F5_CENTRAL_NERVOUS_SYSTEM	F5		central_nervous_system	meningioma
FADU_UPPER_AERODIGESTIVE_TRACT	FaDu	M	upper_aerodigestive_tract	carcinoma
FTC133_THYROID	FTC-133	M	thyroid	carcinoma
FTC238_THYROID	FTC-238	M	thyroid	carcinoma
FU97_STOMACH	FU97	F	stomach	carcinoma
FUOV1_OVARY	FU-OV-1	F	ovary	carcinoma
G292CLONEA141B1_BONE	G-292, clone A141B1	F	bone	osteosarcoma
G361_SKIN	G-361	M	skin	malignant_melanoma
G401_SOFT_TISSUE	G-401	M	soft_tissue	rhabdoid_tumour
G402_SOFT_TISSUE	G-402	F	soft_tissue	rhabdoid_tumour
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA-10	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG	F	central_nervous_system	glioma
GB1_CENTRAL_NERVOUS_SYSTEM	GB-1	M	central_nervous_system	glioma
GCIY_STOMACH	GCIY	F	stomach	carcinoma
GCT_SOFT_TISSUE	GCT	M	soft_tissue	malignant_fibrous_histiocytoma-pleomorphic_sarcoma
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM-1	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
GI1_CENTRAL_NERVOUS_SYSTEM	GI-1	M	central_nervous_system	glioma
GMS10_CENTRAL_NERVOUS_SYSTEM	GMS-10	M	central_nervous_system	glioma
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS-3	M	central_nervous_system	glioma
GP2D_LARGE_INTESTINE	GP2d	F	large_intestine	carcinoma
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GRANTA-519	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
GRM_SKIN	GR-M	M	skin	malignant_melanoma
GSS_STOMACH	GSS		stomach	carcinoma
GSU_STOMACH	GSU		stomach	carcinoma
H4_CENTRAL_NERVOUS_SYSTEM	H4	M	central_nervous_system	glioma
HARA_LUNG	HARA	M	lung	carcinoma
HCC1143_BREAST	HCC1143	F	breast	carcinoma
HCC1171_LUNG	HCC-1171	M	lung	carcinoma
HCC1187_BREAST	HCC1187	F	breast	carcinoma
HCC1195_LUNG	HCC-1195	M	lung	carcinoma
HCC1359_LUNG	HCC-1359	F	lung	carcinoma
HCC1395_BREAST	HCC1395	F	breast	carcinoma
HCC1419_BREAST	HCC1419	F	breast	carcinoma
HCC1428_BREAST	HCC1428	F	breast	carcinoma
HCC1438_LUNG	HCC-1438	M	lung	carcinoma
HCC1500_BREAST	HCC1500	F	breast	carcinoma
HCC1569_BREAST	HCC1569	F	breast	carcinoma
HCC1588_LUNG	HCC-1588	F	lung	carcinoma
HCC1599_BREAST	HCC1599	F	breast	carcinoma
HCC15_LUNG	HCC-15	M	lung	carcinoma
HCC1806_BREAST	HCC1806	F	breast	carcinoma
HCC1833_LUNG	HCC-1833		lung	carcinoma
HCC1897_LUNG	HCC-1897		lung	carcinoma
HCC1937_BREAST	HCC1937	F	breast	carcinoma
HCC1954_BREAST	HCC1954	F	breast	carcinoma
HCC202_BREAST	HCC202	F	breast	carcinoma
HCC2108_LUNG	HCC-2108	M	lung	carcinoma
HCC2157_BREAST	HCC2157	F	breast	carcinoma
HCC2218_BREAST	HCC2218	F	breast	carcinoma
HCC2279_LUNG	HCC-2279	F	lung	carcinoma
HCC2814_LUNG	HCC-2814		lung	carcinoma
HCC2935_LUNG	HCC2935	M	lung	carcinoma
HCC33_LUNG	HCC-33	M	lung	carcinoma
HCC364_LUNG	HCC364		lung	carcinoma
HCC366_LUNG	HCC-366	F	lung	carcinoma
HCC38_BREAST	HCC38	F	breast	carcinoma
HCC4006_LUNG	HCC4006	M	lung	carcinoma
HCC44_LUNG	HCC-44	F	lung	carcinoma
HCC56_LARGE_INTESTINE	HCC-56		large_intestine	carcinoma
HCC70_BREAST	HCC70	F	breast	carcinoma
HCC78_LUNG	HCC-78	M	lung	carcinoma
HCC827GR5_LUNG	HCC-827-GR5		lung	carcinoma
HCC827_LUNG	HCC827	F	lung	carcinoma
HCC95_LUNG	HCC-95	M	lung	carcinoma
HCT116_LARGE_INTESTINE	HCT 116	M	large_intestine	carcinoma
HCT15_LARGE_INTESTINE	HCT-15	M	large_intestine	carcinoma
HCT8_LARGE_INTESTINE	HCT-8	M	large_intestine	carcinoma
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDLM-2	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HD-MY-Z		haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HDQP1_BREAST	HDQ-P1	F	breast	carcinoma
HEC108_ENDOMETRIUM	HEC-108	F	endometrium	carcinoma
HEC151_ENDOMETRIUM	HEC-151	F	endometrium	carcinoma
HEC1A_ENDOMETRIUM	HEC-1-A	F	endometrium	carcinoma
HEC1B_ENDOMETRIUM	HEC-1-B	F	endometrium	carcinoma
HEC251_ENDOMETRIUM	HEC-251	F	endometrium	carcinoma
HEC265_ENDOMETRIUM	HEC-265	F	endometrium	carcinoma
HEC50B_ENDOMETRIUM	HEC-50B	F	endometrium	carcinoma
HEC59_ENDOMETRIUM	HEC-59	F	endometrium	carcinoma
HEC6_ENDOMETRIUM	HEC-6	F	endometrium	carcinoma
HEKTE_KIDNEY	HEK TE		kidney	other
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL 92.1.7	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
HEP3B217_LIVER	Hep 3B2.1-7	M	liver	carcinoma
HEPG2_LIVER	Hep G2	M	liver	carcinoma
HEYA8_OVARY	Hey-A8	F	ovary	carcinoma
HGC27_STOMACH	HGC-27		stomach	carcinoma
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HK2_KIDNEY	HK-2		kidney	other
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL-60	F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
HLC1_LUNG	HLC-1		lung	carcinoma
HLE_LIVER	HLE	M	liver	carcinoma
HLFA_LUNG	HLF-a	F	lung	carcinoma
HLF_LIVER	HLF	M	liver	carcinoma
HMC18_BREAST	HMC-1-8	F	breast	carcinoma
HMCB_SKIN	HMCB		skin	malignant_melanoma
HMEL_BREAST	HMEL		breast	other
HN_UPPER_AERODIGESTIVE_TRACT	HN	M	upper_aerodigestive_tract	carcinoma
HOS_BONE	HOS	F	bone	osteosarcoma
HPAC_PANCREAS	HPAC	F	pancreas	carcinoma
HPAFII_PANCREAS	HPAF-II	M	pancreas	carcinoma
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HPB-ALL	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HRT18_LARGE_INTESTINE	HRT-18	M	large_intestine	carcinoma
HS172T_URINARY_TRACT	Hs 172.T	M	urinary_tract	carcinoma
HS229T_LUNG	Hs 229.T	M	lung	carcinoma
HS255T_LARGE_INTESTINE	Hs 255.T	F	large_intestine	carcinoma
HS274T_BREAST	Hs 274.T	F	breast	carcinoma
HS281T_BREAST	Hs 281.T	F	breast	carcinoma
HS294T_SKIN	Hs 294T	M	skin	malignant_melanoma
HS343T_BREAST	Hs 343.T	F	breast	carcinoma
HS571T_OVARY	Hs 571.T	F	ovary	carcinoma
HS578T_BREAST	Hs 578T	F	breast	carcinoma
HS600T_SKIN	Hs 600.T		skin	malignant_melanoma
HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 604.T	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HS606T_BREAST	Hs 606.T	F	breast	carcinoma
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 611.T	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 616.T	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HS618T_LUNG	Hs 618.T	F	lung	carcinoma
HS675T_LARGE_INTESTINE	Hs 675.T	M	large_intestine	carcinoma
HS683_CENTRAL_NERVOUS_SYSTEM	Hs 683	M	central_nervous_system	glioma
HS688AT_SKIN	Hs 688(A).T	M	skin	malignant_melanoma
HS695T_SKIN	Hs 695T	M	skin	malignant_melanoma
HS698T_LARGE_INTESTINE	Hs 698.T	M	large_intestine	carcinoma
HS706T_BONE	Hs 706.T	F	bone	giant_cell_tumour
HS729_SOFT_TISSUE	Hs 729	M	soft_tissue	rhabdomyosarcoma
HS737T_BONE	Hs 737.T	F	bone	other
HS739T_BREAST	Hs 739.T	F	breast	carcinoma
HS742T_BREAST	Hs 742.T	F	breast	carcinoma
HS746T_STOMACH	Hs 746T	M	stomach	carcinoma
HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Hs 751.T		haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HS766T_PANCREAS	Hs 766T	M	pancreas	carcinoma
HS819T_BONE	Hs 819.T	M	bone	chondrosarcoma
HS821T_BONE	Hs 821.T	F	bone	giant_cell_tumour
HS822T_BONE	Hs 822.T	F	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HS834T_SKIN	Hs 834.T	F	skin	malignant_melanoma
HS839T_SKIN	Hs 839.T	F	skin	malignant_melanoma
HS840T_UPPER_AERODIGESTIVE_TRACT	Hs 840.T	M	upper_aerodigestive_tract	other
HS852T_SKIN	Hs 852.T	M	skin	malignant_melanoma
HS863T_BONE	Hs 863.T	F	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
HS870T_BONE	Hs 870.T		bone	osteosarcoma
HS888T_BONE	Hs 888.T	M	bone	osteosarcoma
HS895T_SKIN	Hs 895.T	F	skin	malignant_melanoma
HS934T_SKIN	Hs 934.T	F	skin	malignant_melanoma
HS936T_SKIN	Hs 936.T	M	skin	malignant_melanoma
HS939T_SKIN	Hs 939.T	F	skin	malignant_melanoma
HS940T_SKIN	Hs 940.T	M	skin	malignant_melanoma
HS944T_SKIN	Hs 944.T	M	skin	malignant_melanoma
HSC2_UPPER_AERODIGESTIVE_TRACT	HSC-2	M	upper_aerodigestive_tract	carcinoma
HSC3_UPPER_AERODIGESTIVE_TRACT	HSC-3	M	upper_aerodigestive_tract	carcinoma
HSC4_UPPER_AERODIGESTIVE_TRACT	HSC-4	M	upper_aerodigestive_tract	carcinoma
HT1080_SOFT_TISSUE	HT-1080	M	soft_tissue	fibrosarcoma
HT115_LARGE_INTESTINE	HT115		large_intestine	carcinoma
HT1197_URINARY_TRACT	HT-1197	M	urinary_tract	carcinoma
HT1376_URINARY_TRACT	HT-1376	F	urinary_tract	carcinoma
HT144_SKIN	HT-144	M	skin	malignant_melanoma
HT29_LARGE_INTESTINE	HT-29	F	large_intestine	carcinoma
HT55_LARGE_INTESTINE	HT55		large_intestine	carcinoma
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HTK-	F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HUCCT1_BILIARY_TRACT	HuCCT1	M	biliary_tract	carcinoma
HUG1N_STOMACH	HuG1-N	M	stomach	carcinoma
HUH1_LIVER	huH-1	M	liver	carcinoma
HUH28_BILIARY_TRACT	HuH28		biliary_tract	carcinoma
HUH6_LIVER	HuH-6		liver	other
HUH7_LIVER	HuH-7	M	liver	carcinoma
